H2,CH4,C2H6,C2H4,C2H2
117.0,17.0,1.0,3.0,1.0
407.0,28.0,15.0,21.0,0.001
183.0,6.0,0.001,5.0,0.001
166.0,21.0,38.0,6.0,0.001
105.0,23.0,13.0,4.0,3.0
110.0,7.0,0.001,0.001,0.001
111.7,19.4,104.1,6.4,3.8
181.5,22.0,76.0,3.7,0.001
230.0,15.9,16.3,1.9,2.4
101.0,8.1,0.001,3.0,0.001
134.0,13.0,156.0,0.001,0.001
1549.2,10.2,0.001,53.19,0.001
1458.0,9.0,1812.0,0.001,0.001
195.0,5.3,0.001,0.001,0.001
197.0,12.0,6.6,15.0,0.001
106.0,4.0,2.0,1.0,0.001
109.0,4.0,11.0,9.0,0.001
109.0,16.0,0.001,0.001,0.001
116.0,14.0,134.0,5.3,0.001
100.0,18.0,0.001,0.001,0.001
113.0,21.0,48.0,0.001,4.0
103.5,4.7,16.3,3.5,0.001
160.0,24.7,38.5,0.001,0.001
134.0,13.0,267.0,0.001,0.001
235.0,16.0,0.001,35.0,0.001
187.0,5.0,1.0,0.001,0.001
121.0,3.0,1.0,0.001,0.001
2510.0,202.0,139.0,208.0,1730.0
109.0,19.0,5.0,12.0,59.0
135.0,27.0,24.0,9.0,13.0
174.0,27.0,6.0,12.0,29.0
179.0,29.0,10.0,17.0,33.0
142.0,17.0,4.0,7.0,38.0
595.0,32.0,4.0,18.0,65.0
720.0,7.0,0.001,15.0,101.0
163.0,26.0,7.0,19.0,133.0
153.0,18.0,9.0,0.001,278.0
111.0,2.8,47.0,0.001,27.5
124.0,14.0,4.0,0.001,13.0
143.0,5.8,16.0,10.6,26.3
137.0,6.0,11.4,6.4,16.5
102.0,6.0,6.0,7.0,10.0
115.0,25.5,110.0,12.2,8.6
169.0,38.0,48.5,6.5,5.8
186.0,38.3,13.0,37.0,85.9
151.0,13.5,50.7,5.0,9.2
716.0,7.1,3.3,20.0,6.8
716.0,7.1,33.0,20.0,6.8
476.0,28.0,27.0,36.0,148.0
289.0,13.4,18.2,49.8,36.3
3559.0,187.0,22.0,230.0,1140.0
4879.0,262.0,15.0,332.0,1827.0
4127.0,267.0,18.0,355.0,2060.0
843.0,133.0,12.0,168.0,385.0
137.0,33.0,8.0,29.0,111.0
315.0,60.0,14.0,93.0,218.0
818.0,94.0,49.0,121.0,978.0
500.0,97.0,193.0,40.0,121.0
119.0,8.0,20.0,0.001,21.0
205.0,20.0,8.0,0.001,6.0
119.0,8.0,23.3,7.9,12.3
256.0,8.0,37.4,15.0,21.1
153.0,18.0,9.0,0.001,11.0
301.0,5.78,4.7,9.7,5.0
208.0,7.6,27.5,9.7,14.4
254.0,5.2,0.001,9.3,88.0
385.0,28.8,50.0,82.3,171.0
225.0,4.7,0.001,8.7,89.0
179.0,39.3,64.0,654.0,168.0
47.0,9.0,4.0,16.0,81.0
84.0,6.0,1.0,14.0,86.0
629.0,402.0,16.0,298.0,1127.0
35.0,11.0,0.001,7.0,146.0
64.0,18.0,1.0,4.0,122.0
63.0,22.0,15.0,11.0,76.0
30.0,14.0,1.0,9.0,43.0
323.0,115.0,7.0,130.0,446.0
80.0,28.0,4.0,15.0,107.0
19.0,12.0,2.0,8.0,63.0
152.0,116.0,7.0,131.0,414.0
25.0,9.0,6.0,5.0,44.0
57.0,148.0,197.0,72.0,42.0
156.0,55.0,103.0,13.0,16.0
85.0,49.0,4.0,50.0,399.0
392.0,153.0,82.0,45.0,236.0
48.0,20.0,69.0,41.0,31.0
88.0,21.8,79.2,41.2,41.5
50.0,42.0,98.0,10.0,33.0
43.0,19.0,3.0,0.001,40.0
59.0,20.0,120.0,5.5,8.9
292.0,346.0,32.0,313.0,196.0
0.001,21.0,0.001,0.001,40.0
26.6,4.0,0.001,8.0,50.0
10.0,15.0,0.001,0.001,35.0
41.0,16.0,19.0,58.0,106.0
37.0,11.8,15.5,43.6,83.3
14.3,92.6,83.9,16.7,26.8
123.0,50.7,9.0,62.0,65.9
2.0,41.0,133.0,9.0,21.0
26.0,68.0,93.0,31.0,59.0
77.0,36.0,27.0,18.0,76.0
46.0,21.0,1.0,11.0,93.0
25.0,28.0,27.0,15.0,80.0
243.0,127.0,20.0,122.0,588.0
88.0,45.0,57.0,15.0,39.0
61.0,21.0,2.0,26.0,89.0
151.0,51.0,16.0,12.0,19.0
75.0,5.0,31.0,69.0,36.0
71.0,151.0,9.0,89.0,412.0
87.0,34.0,23.0,15.0,60.0
114.0,41.0,27.0,15.0,42.0
60.0,85.0,5.0,67.0,227.0
46.0,20.0,14.0,10.0,42.0
22.0,14.0,19.0,6.0,56.0
70.0,4.0,91.0,0.001,34.0
65.4,20.2,70.0,39.0,40.2
155.0,49.0,69.3,42.0,10.7
88.5,22.8,108.4,12.0,7.5
0.001,0.001,10.0,5.0,35.0
34.0,0.001,0.001,0.001,44.0
12.4,6.5,15.3,69.0,15.0
215.0,84.8,87.7,1002.0,212.0
17.0,42.0,192.0,12.0,20.0
4.0,88.0,213.0,14.0,35.0
42.0,124.0,1.0,8.0,0.001
36.0,167.0,230.0,18.0,0.001
10.0,56.0,72.0,70.0,0.001
9.0,38.0,93.0,8.0,0.001
36.0,21.0,65.0,2.0,0.001
161.0,38.0,210.0,13.0,0.001
38.0,38.0,296.0,14.0,0.001
13.0,59.0,117.0,44.0,0.001
10.0,44.0,106.0,28.0,0.001
15.0,7.0,92.0,5.0,0.001
85.0,98.0,315.0,30.0,0.001
74.0,173.0,263.0,33.0,0.001
122.0,161.0,271.0,35.0,0.001
69.0,174.0,267.0,15.0,0.001
113.0,137.0,173.0,34.0,0.001
